"IDSample","AccX","AccY","AccZ"
1,0.036,0.018,0.478
2,0.041,0.02,0.653
3,0.038,0.021,0.787
4,0.033,0.021,0.881
5,0.032,0.024,0.947
6,0.04,0.031,0.997
7,0.059,0.041,1.042
8,0.084,0.05,1.089
9,0.105,0.054,1.137
10,0.119,0.05,1.182
11,0.123,0.041,1.215
12,0.122,0.029,1.228
13,0.119,0.017,1.22
14,0.117,0.009,1.195
15,0.117,0.005,1.157
16,0.117,0.004,1.116
17,0.117,0.006,1.077
18,0.117,0.012,1.044
19,0.119,0.02,1.02
20,0.122,0.029,1.005
21,0.126,0.037,1
22,0.126,0.043,1.004
23,0.12,0.045,1.017
24,0.106,0.041,1.039
25,0.086,0.033,1.064
26,0.067,0.023,1.088
27,0.055,0.016,1.108
28,0.058,0.018,1.123
29,0.073,0.028,1.133
30,0.093,0.042,1.143
31,0.109,0.053,1.153
32,0.111,0.057,1.162
33,0.097,0.052,1.167
34,0.074,0.042,1.16
35,0.052,0.032,1.139
36,0.045,0.025,1.105
37,0.058,0.022,1.065
38,0.087,0.024,1.029
39,0.122,0.032,1.006
40,0.15,0.046,1.001
41,0.163,0.063,1.014
42,0.163,0.077,1.037
43,0.157,0.084,1.061
44,0.156,0.082,1.079
45,0.164,0.073,1.085
46,0.18,0.06,1.077
47,0.197,0.05,1.06
48,0.207,0.044,1.036
49,0.204,0.042,1.008
50,0.191,0.045,0.977
51,0.172,0.051,0.942
52,0.154,0.063,0.908
53,0.141,0.077,0.878
54,0.133,0.089,0.859
55,0.126,0.09,0.852
56,0.116,0.076,0.86
57,0.097,0.049,0.879
58,0.073,0.018,0.902
59,0.048,-0.007,0.923
60,0.03,-0.015,0.938
61,0.025,-0.006,0.943
62,0.034,0.015,0.937
63,0.056,0.038,0.92
64,0.083,0.054,0.894
65,0.107,0.061,0.864
66,0.122,0.059,0.835
67,0.125,0.051,0.812
68,0.119,0.043,0.799
69,0.106,0.041,0.796
70,0.095,0.047,0.802
71,0.089,0.061,0.814
72,0.089,0.082,0.83
73,0.091,0.102,0.849
74,0.09,0.117,0.868
75,0.082,0.122,0.887
76,0.067,0.117,0.903
77,0.049,0.103,0.914
78,0.035,0.084,0.919
79,0.033,0.063,0.917
80,0.047,0.045,0.907
81,0.074,0.033,0.892
82,0.109,0.028,0.877
83,0.142,0.031,0.866
84,0.162,0.039,0.864
85,0.163,0.05,0.869
86,0.145,0.062,0.881
87,0.115,0.073,0.897
88,0.082,0.083,0.915
89,0.057,0.092,0.932
90,0.044,0.099,0.947
91,0.043,0.104,0.961
92,0.051,0.11,0.969
93,0.064,0.115,0.967
94,0.078,0.12,0.952
95,0.092,0.123,0.924
96,0.106,0.122,0.888
97,0.119,0.117,0.854
98,0.127,0.108,0.832
99,0.127,0.098,0.83
100,0.12,0.092,0.853
101,0.106,0.09,0.899
102,0.093,0.094,0.958
103,0.088,0.102,1.022
104,0.094,0.111,1.082
105,0.112,0.116,1.129
106,0.134,0.113,1.16
107,0.152,0.102,1.173
108,0.16,0.086,1.17
109,0.155,0.071,1.155
110,0.138,0.063,1.131
111,0.113,0.065,1.102
112,0.09,0.074,1.072
113,0.074,0.085,1.042
114,0.071,0.091,1.016
115,0.08,0.089,0.995
116,0.097,0.078,0.984
117,0.112,0.061,0.983
118,0.12,0.043,0.993
119,0.12,0.027,1.01
120,0.114,0.017,1.031
121,0.111,0.016,1.052
122,0.116,0.025,1.071
123,0.13,0.039,1.088
124,0.147,0.053,1.105
125,0.159,0.061,1.121
126,0.158,0.058,1.138
127,0.145,0.046,1.15
128,0.123,0.03,1.155
129,0.103,0.016,1.15
130,0.094,0.01,1.132
131,0.097,0.012,1.105
132,0.109,0.018,1.074
133,0.12,0.025,1.047
134,0.124,0.031,1.03
135,0.117,0.035,1.026
136,0.098,0.038,1.035
137,0.073,0.038,1.056
138,0.049,0.034,1.083
139,0.032,0.025,1.111
140,0.025,0.012,1.133
141,0.03,0,1.141
142,0.048,-0.007,1.132
143,0.075,-0.004,1.104
144,0.106,0.007,1.061
145,0.133,0.024,1.01
146,0.147,0.04,0.961
147,0.143,0.048,0.92
148,0.122,0.045,0.892
149,0.092,0.033,0.874
150,0.061,0.019,0.864
151,0.038,0.008,0.86
152,0.028,0.005,0.862
153,0.029,0.01,0.87
154,0.033,0.02,0.885
155,0.034,0.031,0.907
156,0.028,0.04,0.931
